Country,AnalysisType,CandidateTreatmentYear,Year,Gap,RMSPE_Pre,RMSPE_Post,RMSPE_Ratio
Chile,placebo,1991,1991,-59366.414957652334,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,1992,-13237.655260361033,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,1993,-22395.74809792335,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,1994,37069.414640798466,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,1995,46652.365362750366,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,1996,-32973.34152518911,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,1997,-62573.48227058677,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,1998,-108835.42655686475,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,1999,-136552.58075835858,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2000,-127191.15182389016,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2001,-52890.49976936774,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2002,-53382.3163002166,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2003,-44482.98540557781,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2004,-34858.869258370716,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2005,52200.33415780845,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2006,90847.80575421127,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2007,-57571.919304497074,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2008,-86155.51957765361,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2009,-40743.122837731615,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2010,-145102.25376818283,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2011,-240286.55199971003,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2012,-154090.6907128566,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2013,-149331.66460174834,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2014,-152876.0669839452,117601.9549609425,101147.44149585093,0.8600829937686293
Chile,placebo,1991,2015,117273.78785549011,117601.9549609425,101147.44149585093,0.8600829937686293
