Country,CandidateTreatmentYear,Year,Gap
Chile,2009,1985,-111334.66444989666
Chile,2009,1986,-100028.23722744081
Chile,2009,1987,-110931.82299149828
Chile,2009,1988,-135389.27565133804
Chile,2009,1989,-157390.22789374017
Chile,2009,1990,-161215.5827761998
Chile,2009,1991,-87572.25919708866
Chile,2009,1992,-32999.65615916229
Chile,2009,1993,-22855.864786836784
Chile,2009,1994,46573.85871935892
Chile,2009,1995,71420.45898971776
Chile,2009,1996,7809.673753402894
Chile,2009,1997,-21141.541876105126
Chile,2009,1998,-61957.16961593996
Chile,2009,1999,-101086.71676356997
Chile,2009,2000,-112888.51870111376
Chile,2009,2001,-36503.188741365215
Chile,2009,2002,-52301.81921797828
Chile,2009,2003,-48945.793340679025
Chile,2009,2004,-51231.19806822529
Chile,2009,2005,33595.680216915905
Chile,2009,2006,89342.18844398437
Chile,2009,2007,-40547.404478280805
Chile,2009,2008,-70513.60220437218
Chile,2009,2009,-18276.387278007343
Chile,2009,2010,-79445.33333460428
Chile,2009,2011,-138989.50773674063
Chile,2009,2012,-41409.726885387674
Chile,2009,2013,-41926.089379467536
Chile,2009,2014,-125153.27057423908
Chile,2009,2015,90580.6060115858
Chile,2009,2016,70773.20877857972
Chile,2009,2017,-11188.007685652003
Chile,2009,2018,62937.40939445561
Chile,2009,2019,-12362.349357787985
Chile,2009,2020,75421.00039817393
Chile,2009,2021,79749.71083857073
Chile,2009,2022,90233.12392071169
Chile,2009,2023,48427.66799323866
Chile,2010,1985,-112641.34080116043
Chile,2010,1986,-101411.05288177321
Chile,2010,1987,-112695.2629993211
Chile,2010,1988,-136387.9563781058
Chile,2010,1989,-158322.53664103476
Chile,2010,1990,-162376.93476659548
Chile,2010,1991,-88490.63732767198
Chile,2010,1992,-33823.40167661593
Chile,2010,1993,-24273.50256252312
Chile,2010,1994,45359.5680124131
Chile,2010,1995,70076.24011455197
Chile,2010,1996,6198.332661145134
Chile,2010,1997,-23237.55317205889
Chile,2010,1998,-63728.82428303943
Chile,2010,1999,-102411.63200577768
Chile,2010,2000,-113765.42655489547
Chile,2010,2001,-37811.882933835266
Chile,2010,2002,-54446.07370398287
Chile,2010,2003,-50820.57598945382
Chile,2010,2004,-53500.67762624752
Chile,2010,2005,31056.520418515895
Chile,2010,2006,86698.69225084176
Chile,2010,2007,-42873.850666611455
Chile,2010,2008,-72375.75229480956
Chile,2010,2009,-20468.578026698902
Chile,2010,2010,-80721.83988304855
Chile,2010,2011,-140413.21448351117
Chile,2010,2012,-43134.85416241968
Chile,2010,2013,-45206.24218655797
Chile,2010,2014,-129636.34986690711
Chile,2010,2015,84279.40849316306
Chile,2010,2016,64035.29429048393
Chile,2010,2017,-18399.777594571002
Chile,2010,2018,55181.51546043996
Chile,2010,2019,-20164.025397758465
Chile,2010,2020,67884.0422438397
Chile,2010,2021,71244.60788002517
Chile,2010,2022,80935.5322639239
Chile,2010,2023,39239.34735574294
Chile,2011,1985,-111371.43021732778
Chile,2011,1986,-99935.13389058819
Chile,2011,1987,-110061.75513923157
Chile,2011,1988,-135938.1158402923
Chile,2011,1989,-158011.2774437517
Chile,2011,1990,-161178.37048100843
Chile,2011,1991,-88098.09181151539
Chile,2011,1992,-33784.71554994257
Chile,2011,1993,-22616.52922554384
Chile,2011,1994,46499.86685639294
Chile,2011,1995,71693.29944885895
Chile,2011,1996,8696.61743610911
Chile,2011,1997,-19046.364996525692
Chile,2011,1998,-60274.78352888045
Chile,2011,1999,-100169.38529684371
Chile,2011,2000,-112617.75969151873
Chile,2011,2001,-35460.98839930841
Chile,2011,2002,-50030.92020699568
Chile,2011,2003,-47313.84744930151
Chile,2011,2004,-49047.93236202863
Chile,2011,2005,35893.913798463065
Chile,2011,2006,91807.83320510248
Chile,2011,2007,-38523.13390506292
Chile,2011,2008,-69178.53703978937
Chile,2011,2009,-16498.798235424794
Chile,2011,2010,-78891.45292523177
Chile,2011,2011,-138394.82393964427
Chile,2011,2012,-40192.12201730395
Chile,2011,2013,-37481.96622133581
Chile,2011,2014,-118099.25602008542
Chile,2011,2015,100626.04254006268
Chile,2011,2016,81673.97669319808
Chile,2011,2017,1099.514392215293
Chile,2011,2018,76229.64329465106
Chile,2011,2019,1173.8179115410894
Chile,2011,2020,88486.10772699723
Chile,2011,2021,94402.59636659548
Chile,2011,2022,106529.85382372793
Chile,2011,2023,64319.697654955555
