Country,CandidateTreatmentYear,PseudoTreated,RMSPE_Ratio
Chile,2009,I De Tarapacá,1.0127796226290158
Chile,2009,II De Antofagasta,0.7170963931954092
Chile,2009,III De Atacama,3.8845526739830896
Chile,2009,IV De Coquimbo,5.2136396722886085
Chile,2009,IX De La Araucanía,1.2348051821857977
Chile,2009,RMS Región Metropolitana de Santiago,5.677176810285862
Chile,2009,V De Valparaíso,0.9990201534240215
Chile,2009,VI Del Libertador General Bernardo OHiggins,4.344565603141549
Chile,2009,VIII Del Biobío,1.5857685424759616
Chile,2009,X De Los Lagos,7.255323962506351
Chile,2009,XI Aysén del General Carlos Ibáñez del Campo,3.207688944727072
Chile,2009,XII De Magallanes y de la Antártica Chilena,1.0796550986333617
Chile,2010,I De Tarapacá,1.0108618771038302
Chile,2010,II De Antofagasta,0.6429988791876315
Chile,2010,III De Atacama,3.9142478603288025
Chile,2010,IV De Coquimbo,5.3062157997915005
Chile,2010,IX De La Araucanía,1.2147109454037477
Chile,2010,RMS Región Metropolitana de Santiago,6.1491412905473375
Chile,2010,V De Valparaíso,1.0042117603952776
Chile,2010,VI Del Libertador General Bernardo OHiggins,4.4595807665891325
Chile,2010,VIII Del Biobío,1.74454439838462
Chile,2010,X De Los Lagos,7.592310526273391
Chile,2010,XI Aysén del General Carlos Ibáñez del Campo,3.301290705760977
Chile,2010,XII De Magallanes y de la Antártica Chilena,1.1089455985444012
Chile,2011,I De Tarapacá,1.065621309160973
Chile,2011,II De Antofagasta,0.5455554654571193
Chile,2011,III De Atacama,3.241198554341827
Chile,2011,IV De Coquimbo,5.601080901444649
Chile,2011,IX De La Araucanía,1.2060575629823413
Chile,2011,RMS Región Metropolitana de Santiago,6.7064319851575505
Chile,2011,V De Valparaíso,0.9725188135134334
Chile,2011,VI Del Libertador General Bernardo OHiggins,4.688607838972492
Chile,2011,VIII Del Biobío,1.7741126662146092
Chile,2011,X De Los Lagos,8.029785318849743
Chile,2011,XI Aysén del General Carlos Ibáñez del Campo,3.4938200145872744
Chile,2011,XII De Magallanes y de la Antártica Chilena,1.1385406515235894
