year,maule_full_mean,maule_urban_core_mean,urban_threshold
2000,0.8156556376,28.4268134390,15.3839893341
2001,0.8513681662,29.0423866281,15.3839893341
2002,0.8999081275,29.2878249392,15.3839893341
2003,0.9624697316,31.7365457468,15.3839893341
2004,1.0024720270,31.8019666620,15.3839893341
2005,0.9376846854,32.5299985686,15.3839893341
2006,1.0145631059,31.6090981652,15.3839893341
2007,1.0563641856,30.2335080433,15.3839893341
2008,1.0272102901,30.1213662826,15.3839893341
2009,1.1467818879,29.9118593038,15.3839893341
2010,1.3191402523,28.0925885508,15.3839893341
2011,1.2375414103,29.6311360676,15.3839893341
2012,1.2835519486,28.2389623256,15.3839893341
2013,1.3508808685,29.9429645582,15.3839893341
2014,1.4642065125,30.0544343526,15.3839893341
2015,1.4787815050,30.3670152291,15.3839893341
2016,1.5343469524,29.7636400253,15.3839893341
2017,1.6986815604,28.5257633251,15.3839893341
2018,1.7572279954,28.7968538767,15.3839893341
2019,1.7952447766,28.7640625890,15.3839893341
