year,radius_km,ntl_mean,base_2010,index_2010_100
2000,30,6.8613768035,8.3273502833,82.3956789383
2001,30,6.9591179834,8.3273502833,83.5694158005
2002,30,7.3117441111,8.3273502833,87.8039695977
2003,30,7.5375672843,8.3273502833,90.5157946753
2004,30,7.6674206279,8.3273502833,92.0751543648
2005,30,9.0894012928,8.3273502833,109.1511823510
2006,30,8.5672462350,8.3273502833,102.8808197506
2007,30,7.7360030994,8.3273502833,92.8987353261
2008,30,8.2681885601,8.3273502833,99.2895492419
2009,30,7.7427676230,8.3273502833,92.9799679323
2010,30,8.3273502833,8.3273502833,100.0000000000
2011,30,7.1983771363,8.3273502833,86.4425884749
2012,30,7.6747480699,8.3273502833,92.1631468446
2013,30,8.5412255738,8.3273502833,102.5683474715
2014,30,8.8133121406,8.3273502833,105.8357321445
2015,30,8.9196529981,8.3273502833,107.1127392828
2016,30,8.8460670366,8.3273502833,106.2290733020
2017,30,9.4290172262,8.3273502833,113.2295016467
2018,30,9.4273320736,8.3273502833,113.2092652865
2019,30,9.4763172942,8.3273502833,113.7975102735
2000,50,3.0816350657,3.7532317418,82.1061761614
2001,50,3.1253923677,3.7532317418,83.2720328175
2002,50,3.2664706918,3.7532317418,87.0308820915
2003,50,3.3427354955,3.7532317418,89.0628590363
2004,50,3.4059087579,3.7532317418,90.7460288140
2005,50,3.9991352158,3.7532317418,106.5517796630
2006,50,3.7759127622,3.7532317418,100.6043064200
2007,50,3.4597918196,3.7532317418,92.1816732240
2008,50,3.6396639476,3.7532317418,96.9741331723
2009,50,3.4949142399,3.7532317418,93.1174646362
2010,50,3.7532317418,3.7532317418,100.0000000000
2011,50,3.2981065701,3.7532317418,87.8737791041
2012,50,3.5154329060,3.7532317418,93.6641579267
2013,50,3.8869256576,3.7532317418,103.5621012761
2014,50,4.0314506128,3.7532317418,107.4127815750
2015,50,4.0752598933,3.7532317418,108.5800231293
2016,50,4.0363341814,3.7532317418,107.5428979359
2017,50,4.3417515435,3.7532317418,115.6803480900
2018,50,4.3423925273,3.7532317418,115.6974262737
2019,50,4.3518826940,3.7532317418,115.9502794763
2000,80,1.4830780294,1.8288604433,81.0930125839
2001,80,1.5107825360,1.8288604433,82.6078633596
2002,80,1.5705360622,1.8288604433,85.8751179165
2003,80,1.6034765097,1.8288604433,87.6762639616
2004,80,1.6338013738,1.8288604433,89.3343928902
2005,80,1.9196167144,1.8288604433,104.9624492384
2006,80,1.8135726282,1.8288604433,99.1640797332
2007,80,1.6757868365,1.8288604433,91.6301100296
2008,80,1.7393700522,1.8288604433,95.1067676383
2009,80,1.7045912100,1.8288604433,93.2051002724
2010,80,1.8288604433,1.8288604433,100.0000000000
2011,80,1.6227288368,1.8288604433,88.7289592128
2012,80,1.7254177079,1.8288604433,94.3438693885
2013,80,1.8987160695,1.8288604433,103.8196258465
2014,80,1.9906721136,1.8288604433,108.8476773028
2015,80,2.0115431363,1.8288604433,109.9888809807
2016,80,1.9901773183,1.8288604433,108.8206224573
2017,80,2.1552688834,1.8288604433,117.8476406640
2018,80,2.1569068899,1.8288604433,117.9372049845
2019,80,2.1541137784,1.8288604433,117.7844808413
