product,country,year,treated_level,synthetic_level,gap_pct
pcnl_harmonized,Chile,2000,0.8156556376,0.8100404090,0.6932035249
pcnl_harmonized,Chile,2001,0.8513681662,0.8568292972,-0.6373651102
pcnl_harmonized,Chile,2002,0.8999081275,0.8990287349,0.0978158531
pcnl_harmonized,Chile,2003,0.9624697316,0.9630853239,-0.0639187757
pcnl_harmonized,Chile,2004,1.0024720270,0.9845081929,1.8246505474
pcnl_harmonized,Chile,2005,0.9376846854,0.9634942208,-2.6787431387
pcnl_harmonized,Chile,2006,1.0145631059,1.0292272320,-1.4247705098
pcnl_harmonized,Chile,2007,1.0563641856,1.0148681061,4.0888150191
pcnl_harmonized,Chile,2008,1.0272102901,1.0459780643,-1.7942799029
pcnl_harmonized,Chile,2009,1.1467818879,1.1467820738,-0.0000162147
pcnl_harmonized,Chile,2010,1.3191402523,1.1879843033,11.0402089230
pcnl_harmonized,Chile,2011,1.2375414103,1.1794266337,4.9273752948
pcnl_harmonized,Chile,2012,1.2835519486,1.1260312143,13.9890202232
pcnl_harmonized,Chile,2013,1.3508808685,1.2448342839,8.5189318711
pcnl_harmonized,Chile,2014,1.4642065125,1.3132420168,11.4955578442
pcnl_harmonized,Chile,2015,1.4787815050,1.3200561968,12.0241326553
pcnl_harmonized,Chile,2016,1.5343469524,1.3440862649,14.1553925913
pcnl_harmonized,Chile,2017,1.6986815604,1.4555789745,16.7014356656
pcnl_harmonized,Chile,2018,1.7572279954,1.4874741071,18.1350308553
pcnl_harmonized,Chile,2019,1.7952447766,1.5074967372,19.0878051154
pcnl_harmonized,New Zealand,2000,0.4308023367,0.4414308868,-2.4077495331
pcnl_harmonized,New Zealand,2001,0.4413134058,0.4525090316,-2.4741220789
pcnl_harmonized,New Zealand,2002,0.4586505969,0.4775701314,-3.9616243344
pcnl_harmonized,New Zealand,2003,0.4621951100,0.4610748767,0.2429612441
pcnl_harmonized,New Zealand,2004,0.4723659568,0.4817975664,-1.9575876336
pcnl_harmonized,New Zealand,2005,0.5395232080,0.4931734347,9.3982704653
pcnl_harmonized,New Zealand,2006,0.5240312420,0.4996150784,4.8869949431
pcnl_harmonized,New Zealand,2007,0.4924370554,0.4986966475,-1.2551903225
pcnl_harmonized,New Zealand,2008,0.5019138918,0.4960924900,1.1734508910
pcnl_harmonized,New Zealand,2009,0.5013424625,0.5293495739,-5.2908536845
pcnl_harmonized,New Zealand,2010,0.5398012822,0.5350261687,0.8925009329
pcnl_harmonized,New Zealand,2011,0.4802992622,0.4942406795,-2.8207749640
pcnl_harmonized,New Zealand,2012,0.5115266495,0.5132122073,-0.3284329039
pcnl_harmonized,New Zealand,2013,0.5575589777,0.5309368818,5.0141734039
pcnl_harmonized,New Zealand,2014,0.5920031651,0.5450008483,8.6242649012
pcnl_harmonized,New Zealand,2015,0.5973545310,0.5382141748,10.9882569044
pcnl_harmonized,New Zealand,2016,0.5908955555,0.5369966312,10.0371065966
pcnl_harmonized,New Zealand,2017,0.6434655989,0.5782539937,11.2773289755
pcnl_harmonized,New Zealand,2018,0.6434301538,0.5675741440,13.3649516217
pcnl_harmonized,New Zealand,2019,0.6411969152,0.5642256376,13.6419319553
viirs_extrapolated,Chile,2000,1.4519536895,1.4640744385,-0.8278779247
viirs_extrapolated,Chile,2001,1.4773024289,1.4884246766,-0.7472496129
viirs_extrapolated,Chile,2002,1.5044992141,1.5143689409,-0.6517385859
viirs_extrapolated,Chile,2003,1.5340909745,1.5417935337,-0.4995843504
viirs_extrapolated,Chile,2004,1.5656171379,1.5710661072,-0.3468325940
