Country,CandidateTreatmentYear,Year,Gap
NZ,2010,2000,-2809.757124907639
NZ,2010,2001,-3221.3748097009375
NZ,2010,2002,-3621.054776136938
NZ,2010,2003,-2709.9173061316033
NZ,2010,2004,-2629.515930708294
NZ,2010,2005,-1932.0684935717436
NZ,2010,2006,-2396.849851152394
NZ,2010,2007,-2278.132962968317
NZ,2010,2008,-2410.95688039127
NZ,2010,2009,-2102.6685633207308
NZ,2010,2010,-2187.5861826983964
NZ,2010,2011,-1521.509155806314
NZ,2010,2012,-739.1280724604003
NZ,2010,2013,993.1195031644529
NZ,2010,2014,2615.7428027644346
NZ,2010,2015,3057.841332971482
NZ,2010,2016,1934.1293182472436
NZ,2010,2017,260.3584750017617
NZ,2010,2018,655.8512852071799
NZ,2010,2019,132.2333693915134
NZ,2010,2020,57.68407100609329
NZ,2010,2021,-1616.585936770476
NZ,2010,2022,-1936.7872463577805
NZ,2010,2023,-1779.3262648792588
NZ,2011,2000,-2820.28315105995
NZ,2011,2001,-3229.312396273468
NZ,2011,2002,-3627.9178852734403
NZ,2011,2003,-2722.9005143322574
NZ,2011,2004,-2643.5374397792402
NZ,2011,2005,-1948.1519023073852
NZ,2011,2006,-2410.107548432861
NZ,2011,2007,-2290.1368524581485
NZ,2011,2008,-2423.334131267722
NZ,2011,2009,-2110.968374524993
NZ,2011,2010,-2195.1560458101376
NZ,2011,2011,-1529.610187530765
NZ,2011,2012,-747.8989514734494
NZ,2011,2013,980.5478684135742
NZ,2011,2014,2603.819973759091
NZ,2011,2015,3039.339165670419
NZ,2011,2016,1908.24038029019
NZ,2011,2017,233.22491156159958
NZ,2011,2018,627.4753757702711
NZ,2011,2019,102.71182971158123
NZ,2011,2020,31.43960447920108
NZ,2011,2021,-1642.6738842070117
NZ,2011,2022,-1969.8926519573288
NZ,2011,2023,-1820.6174548736453
NZ,2012,2000,-2828.4745043161274
NZ,2012,2001,-3235.6326870491284
NZ,2012,2002,-3633.7370614499014
NZ,2012,2003,-2732.092585316699
NZ,2012,2004,-2653.122221860016
NZ,2012,2005,-1958.7498629696274
NZ,2012,2006,-2419.5452985696247
NZ,2012,2007,-2298.2259461098656
NZ,2012,2008,-2431.7463875974063
NZ,2012,2009,-2116.813276954934
NZ,2012,2010,-2201.4048938597407
NZ,2012,2011,-1535.7860291094112
NZ,2012,2012,-754.2702545706561
NZ,2012,2013,972.2059873200196
NZ,2012,2014,2596.7590697967316
NZ,2012,2015,3028.4596030703906
NZ,2012,2016,1893.2272367422265
NZ,2012,2017,217.36483404476894
NZ,2012,2018,611.4292914073667
NZ,2012,2019,86.22486244036554
NZ,2012,2020,16.157780255532998
NZ,2012,2021,-1658.4234933203916
NZ,2012,2022,-1989.4338884182507
NZ,2012,2023,-1844.328655963458
