Country,CandidateTreatmentYear,PseudoTreated,RMSPE_Ratio
NZ,2010,Auckland,1.5110872490621503
NZ,2010,Bay of Plenty,2.2057818819982535
NZ,2010,Gisborne,1.3815975745477256
NZ,2010,Hawke's Bay,1.6759205022036858
NZ,2010,Manawatu-Whanganui,1.7418585118509677
NZ,2010,Marlborough,3.7086643569781024
NZ,2010,New Zealand,1.4786615795864158
NZ,2010,Northland,2.271147435548485
NZ,2010,Otago,2.1558325037950636
NZ,2010,Southland,1.7653931614930294
NZ,2010,Taranaki,1.1174652661603979
NZ,2010,Tasman/Nelson,1.8037568984685983
NZ,2010,Total North Island,1.072223774161803
NZ,2010,Total South Island,2.6242864140601347
NZ,2010,Waikato,2.166524917544598
NZ,2010,Wellington,1.163993598497698
NZ,2010,West Coast,1.1225544156679408
NZ,2011,Auckland,1.6130298850333344
NZ,2011,Bay of Plenty,2.3537037115141897
NZ,2011,Gisborne,1.3681628520286757
NZ,2011,Hawke's Bay,1.4069053790008534
NZ,2011,Manawatu-Whanganui,1.8143749681751187
NZ,2011,Marlborough,4.009028066661563
NZ,2011,New Zealand,1.467700781155237
NZ,2011,Northland,2.0336987361437124
NZ,2011,Otago,1.6798212006874964
NZ,2011,Southland,1.6829868355181719
NZ,2011,Taranaki,0.9705062926633872
NZ,2011,Tasman/Nelson,1.7994252610897135
NZ,2011,Total North Island,1.078656069442631
NZ,2011,Total South Island,3.7640372245513034
NZ,2011,Waikato,2.153634533079025
NZ,2011,Wellington,1.1365532957505413
NZ,2011,West Coast,1.0312762017304764
NZ,2012,Auckland,1.7275706051924882
NZ,2012,Bay of Plenty,2.5553444455935717
NZ,2012,Gisborne,1.3461585265722893
NZ,2012,Hawke's Bay,1.2816353019071616
NZ,2012,Manawatu-Whanganui,1.876984540180833
NZ,2012,Marlborough,4.2061382386640584
NZ,2012,New Zealand,1.470477535415022
NZ,2012,Northland,2.001168377997421
NZ,2012,Otago,1.4959476520627826
NZ,2012,Southland,1.5108097970562315
NZ,2012,Taranaki,0.8329253203145928
NZ,2012,Tasman/Nelson,1.5277016318690626
NZ,2012,Total North Island,1.0978711302066766
NZ,2012,Total South Island,3.3482565639750774
NZ,2012,Waikato,2.1672406300742337
NZ,2012,Wellington,1.131348288960839
NZ,2012,West Coast,1.0272203662401032
