Year,TreatedGapPct,LowerBoundPct,UpperBoundPct,Country,Scenario,TreatmentYear,MSPEThreshold,Alpha,TreatedPreRMSPEPct,CriticalValue,NPlacebosRetained,RetainedPlacebos
1985,-13.803602427718312,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1986,-12.45837351305453,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1987,-15.144959050801972,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1988,-11.327089219377125,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1989,-12.129988678757883,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1990,-11.069970818611875,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1991,-3.625989462140785,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1992,0.6264049231606429,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1993,-2.631482608940517,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1994,3.053313276309409,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1995,5.065929624177815,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1996,0.6550914865354183,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1997,-1.2967778338695395,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1998,-2.246526073035745,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1999,-2.5381330540156872,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2000,-1.2912887167236997,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2001,2.0724602868878472,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2002,-1.8367141441455923,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2003,0.45986028458015005,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2004,-0.916845855201673,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2005,2.171558909486824,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2006,4.575683110977416,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2007,-0.5480881026732797,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2008,-0.03619889346745614,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2009,0.5309319684575559,,,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2010,-0.154625447575483,-45.854055001266865,45.5448041061159,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2011,-1.0310053601529745,-46.730434913844356,44.66842419353841,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2012,1.847061616973962,-43.85236793671742,47.54649117066534,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2013,-1.0520406098977408,-46.75147016358912,44.64738894379364,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2014,-3.885683537587966,-49.58511309127935,41.813746016103416,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2015,-0.46695802299377864,-46.16638757668516,45.2324715306976,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2016,-2.159815939253192,-47.859245492944574,43.53961361443819,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2017,-4.1868766837435265,-49.88630623743491,41.512552869947854,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2018,-2.0708430652621566,-47.77027261895354,43.62858648842922,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2019,-3.939236168564027,-49.63866572225541,41.76019338512735,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2020,-1.7751067884587957,-47.474536342150174,43.92432276523259,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2021,-3.0122440340270917,-48.71167358771847,42.68718551966429,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2022,-3.6545852494860718,-49.35401480317745,42.04484430420531,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
2023,-3.238776619631145,-48.93820617332253,42.460652934060235,Chile,chile_fit_threshold_2x,2010,2.0,0.05,6.568955496835751,6.9568791531172165,8,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1985,-13.803602427718312,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1986,-12.45837351305453,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1987,-15.144959050801972,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1988,-11.327089219377125,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1989,-12.129988678757883,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1990,-11.069970818611875,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1991,-3.625989462140785,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1992,0.6264049231606429,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
1993,-2.631482608940517,,,Chile,chile_fit_threshold_5x,2010,5.0,0.05,6.568955496835751,6.9568791531172165,9,IV De Coquimbo;VI Del Libertador General Bernardo OHiggins;IX De La Araucanía;I De Tarapacá;RMS Región Metropolitana de Santiago;X De Los Lagos;V De Valparaíso;III De Atacama;XI Aysén del General Carlos Ibáñez del Campo
