Country,ScenarioOrder,ScenarioLabel,Year,GapPct,Treated,Synthetic
Chile,1,Baseline donor pool,1990,-11.070009414650029,1067627.18,1200525.4616274268
Chile,1,Baseline donor pool,1991,-3.6260409709240724,1165204.032,1209044.480209077
Chile,1,Baseline donor pool,1992,0.6263424923451648,1330369.726,1322088.9212993146
Chile,1,Baseline donor pool,1993,-2.63154405330946,1346841.761,1383242.3939611397
Chile,1,Baseline donor pool,1994,3.0532422173182265,1489088.481,1444970.0455419119
Chile,1,Baseline donor pool,1995,5.065881376520018,1600176.293,1523021.8145370313
Chile,1,Baseline donor pool,1996,0.6550615216831045,1597085.711,1586691.9028765939
Chile,1,Baseline donor pool,1997,-1.2967704064750558,1636252.443,1657749.6498729968
Chile,1,Baseline donor pool,1998,-2.2465162407011916,1661033.28,1699206.2237802283
Chile,1,Baseline donor pool,1999,-2.5381246118561482,1642218.688,1684985.725402709
Chile,1,Baseline donor pool,2000,-1.291282812672999,1779899.31,1803183.5087291738
Chile,1,Baseline donor pool,2001,2.072474176584873,1857114.713,1819407.9530071944
Chile,1,Baseline donor pool,2002,-1.8367061973861059,1857540.161,1892296.080381257
Chile,1,Baseline donor pool,2003,0.4598739728170707,1893727.082,1885058.1900116797
Chile,1,Baseline donor pool,2004,-0.9168379061670068,1980969.704,1999300.0446675257
Chile,1,Baseline donor pool,2005,2.1715560026311547,2125212.491,2080043.188287424
Chile,1,Baseline donor pool,2006,4.575682355888988,2234582.32,2136808.7395263966
Chile,1,Baseline donor pool,2007,-0.5480851468642837,2161353.107,2173264.4466340835
Chile,1,Baseline donor pool,2008,-0.036192689695910905,2215647.95,2216450.1429224927
Chile,1,Baseline donor pool,2009,0.5309268903936045,2185788.523,2174244.8723099027
Chile,1,Baseline donor pool,2010,-0.15462989163821855,2200720.16,2204128.401358588
Chile,1,Baseline donor pool,2011,-1.0309968239553842,2390392.714,2415294.32174638
Chile,1,Baseline donor pool,2012,1.847073498915048,2484540.292,2439481.279770368
Chile,1,Baseline donor pool,2013,-1.0519976597228418,2595026.948,2622616.8155227974
Chile,1,Baseline donor pool,2014,-3.885611451426443,2797294.751,2910380.8422880666
Chile,1,Baseline donor pool,2015,-0.4668826644864627,3128744.949,3143421.0368930744
Chile,1,Baseline donor pool,2016,-2.159740290678435,3153363.4950981685,3222971.3049276965
Chile,1,Baseline donor pool,2017,-4.1867773538034925,3127655.629002725,3264325.6772105694
Chile,1,Baseline donor pool,2018,-2.070737011502434,3340806.7888052226,3411448.924309399
Chile,1,Baseline donor pool,2019,-3.9391235937120315,3279486.748841041,3413967.1336856256
Chile,2,Exclude adjacent O'Higgins,1990,-17.51612780756652,1067627.18,1294346.5814859464
Chile,2,Exclude adjacent O'Higgins,1991,-11.386700951158884,1165204.032,1314931.330293631
Chile,2,Exclude adjacent O'Higgins,1992,-6.507075630806275,1330369.726,1422963.0049291323
Chile,2,Exclude adjacent O'Higgins,1993,-10.984929662803895,1346841.761,1513049.1453840986
Chile,2,Exclude adjacent O'Higgins,1994,-5.032232761723386,1489088.481,1567993.5669792446
Chile,2,Exclude adjacent O'Higgins,1995,-5.385296531862332,1600176.293,1691255.4120500663
Chile,2,Exclude adjacent O'Higgins,1996,-7.808691112383926,1597085.711,1732360.3821992532
Chile,2,Exclude adjacent O'Higgins,1997,-7.46379228220782,1636252.443,1768229.4134962626
Chile,2,Exclude adjacent O'Higgins,1998,-8.247335304754145,1661033.28,1810337.918268728
Chile,2,Exclude adjacent O'Higgins,1999,-9.470416244471465,1642218.688,1814013.2980559648
Chile,2,Exclude adjacent O'Higgins,2000,-4.98624917799537,1779899.31,1873307.068294146
Chile,2,Exclude adjacent O'Higgins,2001,-1.324069869652299,1857114.713,1882034.1602524666
Chile,2,Exclude adjacent O'Higgins,2002,-3.0541555389172257,1857540.161,1916059.6014465347
Chile,2,Exclude adjacent O'Higgins,2003,-1.9398548847747543,1893727.082,1931189.3529983892
Chile,2,Exclude adjacent O'Higgins,2004,-2.032299787655201,1980969.704,2022064.1085850254
Chile,2,Exclude adjacent O'Higgins,2005,1.076347222808571,2125212.491,2102581.414339468
Chile,2,Exclude adjacent O'Higgins,2006,2.193619907580255,2234582.32,2186616.2701946218
Chile,2,Exclude adjacent O'Higgins,2007,-2.484709532505723,2161353.107,2216424.825930724
