Country,ScenarioLabel,TreatmentYear,PreferredConvention,Year,TreatedOutcome,SyntheticOutcome,GapLevel,GapPct
Chile,2009 placebo start,2009,False,1985,856455.2804,934514.2369781069,-78058.95657810685,-9.114189422902513
Chile,2009 placebo start,2009,False,1986,913021.4595,991109.7318605877,-78088.27236058773,-8.552731323900248
Chile,2009 placebo start,2009,False,1987,937390.8662,1067297.965704496,-129907.09950449597,-13.858370524892571
Chile,2009 placebo start,2009,False,1988,1009180.574,1091561.2493073891,-82380.67530738912,-8.163125354352006
Chile,2009 placebo start,2009,False,1989,1033344.581,1136731.110725149,-103386.52972514904,-10.005039134680384
Chile,2009 placebo start,2009,False,1990,1067627.18,1229912.8766561663,-162285.69665616634,-15.200596209639993
Chile,2009 placebo start,2009,False,1991,1165204.032,1220327.8804923287,-55123.848492328776,-4.7308322815972526
Chile,2009 placebo start,2009,False,1992,1330369.726,1311799.0994390592,18570.626560940873,1.3958996659354885
Chile,2009 placebo start,2009,False,1993,1346841.761,1361348.088486098,-14506.327486098045,-1.0770624958441606
Chile,2009 placebo start,2009,False,1994,1489088.481,1424221.9270445677,64866.55395543226,4.3561248900314515
Chile,2009 placebo start,2009,False,1995,1600176.293,1537240.8535219382,62935.43947806186,3.933031613664949
Chile,2009 placebo start,2009,False,1996,1597085.711,1642258.7009444584,-45172.98994445847,-2.828463721973559
Chile,2009 placebo start,2009,False,1997,1636252.443,1794982.873889448,-158730.43088944792,-9.70085218625693
Chile,2009 placebo start,2009,False,1998,1661033.28,1848130.1368100834,-187096.85681008338,-11.263883695941564
Chile,2009 placebo start,2009,False,1999,1642218.688,1833887.9041055185,-191669.2161055184,-11.671357627707035
Chile,2009 placebo start,2009,False,2000,1779899.31,1960339.9923656303,-180440.6823656303,-10.137690449783381
Chile,2009 placebo start,2009,False,2001,1857114.713,2009280.7337435407,-152166.02074354072,-8.193679134539316
Chile,2009 placebo start,2009,False,2002,1857540.161,2081115.2439057047,-223575.08290570462,-12.036083396729564
Chile,2009 placebo start,2009,False,2003,1893727.082,2083780.5852250494,-190053.50322504947,-10.035950007343745
Chile,2009 placebo start,2009,False,2004,1980969.704,2200841.721092759,-219872.01709275926,-11.099211494693272
Chile,2009 placebo start,2009,False,2005,2125212.491,2251934.0028561694,-126721.51185616944,-5.962769012172601
Chile,2009 placebo start,2009,False,2006,2234582.32,2315043.7000436545,-80461.3800436547,-3.600734657367857
Chile,2009 placebo start,2009,False,2007,2161353.107,2349852.825132953,-188499.71813295316,-8.721375397775443
Chile,2009 placebo start,2009,False,2008,2215647.95,2410429.6998796137,-194781.74987961352,-8.791186789382017
