Year,Region,ntl_mean,ntl_dmsp,ntl_viirs,ntl_urban
2000,Auckland,5.90561448604052,5.90561448604052,5.630767267514658,7.372816131100833
2001,Auckland,5.097363257504245,5.097363257504245,5.543719790590623,6.371120384591613
2002,Auckland,6.555753120734933,6.555753120734933,6.447170420134712,8.228529201302685
2003,Auckland,7.026101555487529,7.026101555487529,6.218274601966629,8.865535574127387
2004,Auckland,5.159804968258729,5.159804968258729,6.355517512516394,6.539675671026075
2005,Auckland,5.792564675870887,5.792564675870887,6.630688669391357,7.3811644763451
2006,Auckland,7.043997395290345,7.043997395290345,7.161887213953515,9.00318351258995
2007,Auckland,6.787786258978261,6.787786258978261,7.206624076876816,8.690646027784451
2008,Auckland,7.29328322109343,7.29328322109343,7.491236820676666,9.396776636140004
2009,Auckland,6.557291518051752,6.557291518051752,7.454308376754088,8.428250047992194
2010,Auckland,8.217059424431273,8.217059424431273,8.407998959979746,10.5870315382443
2011,Auckland,8.292390940916047,8.292390940916047,7.371479313224311,10.718321851589089
2012,Auckland,7.820227209627491,7.820227209627491,7.523679861997537,10.155045244954817
2013,Auckland,9.038145770456952,9.038145770456952,7.5184404609829425,11.769050250883096
2014,Auckland,8.413510501530808,8.576116275886541,8.413510501530808,11.006435389691193
2015,Auckland,8.99857692889132,7.5853064395246435,8.99857692889132,11.848974092319388
2016,Auckland,8.71345091881579,9.170161114726223,8.71345091881579,11.567042629796497
2017,Auckland,8.609782415137067,8.070718594285054,8.609782415137067,11.492195699935689
2018,Auckland,8.889211104187266,10.378342833080588,8.889211104187266,11.935934706865703
2019,Auckland,9.976681428570908,9.537427893338313,9.976681428570908,13.468519928570728
2000,Bay of Plenty,6.191124675376367,6.191124675376367,5.118974242188507,7.659299386755875
2001,Bay of Plenty,6.266029943106139,6.266029943106139,5.753862435340771,7.787533046169568
2002,Bay of Plenty,5.598654828663924,5.598654828663924,6.123615612899015,6.986906862114036
2003,Bay of Plenty,6.327933976843398,6.327933976843398,6.3743860340959575,7.905203132001571
2004,Bay of Plenty,6.4364122044478735,6.4364122044478735,6.623623465244872,8.070288273261436
2005,Bay of Plenty,6.747106642074169,6.747106642074169,6.892762650331485,8.500138884492968
2006,Bay of Plenty,7.479741478372795,7.479741478372795,6.597582354402959,9.454681251641505
2007,Bay of Plenty,7.262536604171418,7.262536604171418,6.876821740678147,9.254154879597763
2008,Bay of Plenty,7.983223879372439,7.983223879372439,7.747353104249555,10.245447533861867
2009,Bay of Plenty,7.383498486435151,7.383498486435151,7.240279626577389,9.45858851215752
2010,Bay of Plenty,7.731553250952848,7.731553250952848,6.917637248155222,9.933191870049887
2011,Bay of Plenty,8.306964208923274,8.306964208923274,7.194683887591912,10.731378473104092
2012,Bay of Plenty,6.604825768400746,6.604825768400746,7.44462369431496,8.56836555313641
2013,Bay of Plenty,7.63625226927058,7.63625226927058,8.17513420170032,9.923087200157909
