year,region_name,gdp_cap,population,ed_superior,ed_superior_cap,agropecuario,pesca,mineria,industria_m,electricidad,construccion,comercio,transporte,servicios_financieros,vivienda,personales,publica,id,growth_rate
1985,I De Tarapacá,2212588.545,,,,0.009878871,0.109208753,0.05723552,0.153727046,0.017591335,0.05876043,0.090433507,0.085299784,0.041655777,0.067400923,0.123342542,0.125411606,1.0,
1986,I De Tarapacá,2273234.037,,,,0.009902897,0.127264856,0.060958855,0.145300118,0.017266201,0.069914696,0.087142897,0.088117643,0.042978968,0.065054841,0.11992951,0.121846616,1.0,
1987,I De Tarapacá,2268484.676,,,,0.009902625,0.083249847,0.047445658,0.145347809,0.018076866,0.09525417,0.100225137,0.087799174,0.047528642,0.064671013,0.119737312,0.120034902,1.0,
1988,I De Tarapacá,2275506.186,,,,0.010086288,0.072526493,0.051224446,0.151336117,0.016154413,0.08422622,0.102094498,0.086618209,0.051466467,0.064217131,0.118528238,0.126855145,1.0,
1989,I De Tarapacá,2446640.978,,,,0.009318163,0.088219914,0.062924316,0.146502579,0.015184931,0.054298257,0.108763346,0.096534556,0.054858649,0.059683918,0.109517932,0.116223534,1.0,
1990,I De Tarapacá,2371225.095,,,,0.009493507,0.055771114,0.078358213,0.134422239,0.013039402,0.066386092,0.121625712,0.092077451,0.056702332,0.061299438,0.112502325,0.114758446,1.0,
1991,I De Tarapacá,2445160.797,,,,0.00820585,0.057992583,0.079909075,0.132029112,0.013710725,0.060696236,0.126774962,0.089073001,0.06250157,0.059277564,0.112570956,0.108831343,1.0,
1992,I De Tarapacá,2707395.055,,,,0.008119467,0.064250211,0.071399527,0.143441977,0.013434951,0.075577915,0.123265433,0.090203417,0.061554286,0.053351097,0.10542721,0.09739364,1.0,
1993,I De Tarapacá,2632904.971,,,,0.008948693,0.050908048,0.059904484,0.144086769,0.014213967,0.083207737,0.126494479,0.092384131,0.065644767,0.055379842,0.107325749,0.094897553,1.0,
1994,I De Tarapacá,2989723.089,,,,0.008457406,0.049443445,0.089686336,0.145086901,0.015339851,0.068604516,0.13131383,0.083955787,0.060009405,0.049204976,0.098062651,0.084760197,1.0,
1995,I De Tarapacá,3304344.478,,,,0.007532754,0.040223187,0.145865233,0.120080789,0.014961902,0.07939905,0.135668978,0.085347709,0.058666238,0.044872536,0.090955509,0.07456613,1.0,
1996,I De Tarapacá,3450438.748,,,,0.007241771,0.030593151,0.176692188,0.10228626,0.016097127,0.10471488,0.136871289,0.079754892,0.058240529,0.04319699,0.088385634,0.072807576,1.0,
1997,I De Tarapacá,3792185.278,,,,0.006688993,0.033909344,0.162350754,0.106759072,0.016296628,0.123109806,0.140130601,0.078127112,0.054684728,0.039810131,0.082958529,0.065542243,1.0,
